"","model","scientificName","height","major_axis_mod","minor_axis","profile","profile_se"
"1864","Hiperfire2","Axis porcinus",7.35,1.39780117888712,0.517907645684493,2.43915623164269,0.657208184706769
"1876","Hiperfire1","Muntiacus muntjak",8.1,1.42432872493048,0.84234067263095,2.88601311181624,0.578228559691066
"1877","Hiperfire1","Rusa unicolor",8.1,1.50066520234404,0.887485672240472,3.04068813231486,0.592600337858027
"1883","Hiperfire1","Rhinoceros unicornis",7.1,1.58141376048006,0.93523995366704,3.20430302925671,0.595873066463982
"1884","Hiperfire2","Hystrix indica",7.1,1.32833639877334,0.492169835994446,2.31794052954326,0.607810356871422
"1890","Browning","Axis porcinus",7.8,1.95051863318334,0.717709032754808,3.39729297862886,0.633174431475407
"1894","Hiperfire2","Elephas maximus",7.55,2.19266316011478,0.812416695726563,3.82618650754425,0.617933784486128
"1896","Hiperfire2","Axis porcinus",7.55,1.4437809401252,0.53494388106019,2.51939069048225,0.62504248560091
"1900","Hiperfire2","Axis porcinus",7.1,1.34238016110868,0.497373274078136,2.34244682624221,0.596677872959255
"1917","Hiperfire2","Canis aureus",7.4,1.39265319215496,0.516000234438359,2.43017301993288,0.627073242479097
"1925","Hiperfire1","Rusa unicolor",6.5,1.15834145059795,0.685037168425155,2.34706255365951,0.603893564108489
